Ticker,Current,Predicted,MonthlyReturn
5987.T,2360.0,3489.918993850349,0.4787792346823514
4267.T,2170.0,3038.464396239552,0.40021400748366465
4519.T,7527.0,10491.177589401825,0.39380597706945997
7999.T,2670.0,3681.418856800747,0.37880856059953083
2395.T,1313.0,1798.678357634454,0.3698997392493937
7082.T,1787.0,2383.643995175689,0.33388024352304924
9539.T,1251.0,1661.794460621408,0.3283728702009656
3497.T,1493.0,1983.1345821214825,0.328288400617202
5616.T,992.0,1313.0748055597567,0.3236641185078193
8185.T,1219.0,1612.0742629564395,0.3224563272817387
7685.T,3250.0,4295.526634616408,0.32170050295889485
4395.T,892.0,1173.1189596543004,0.3151557843658077
6185.T,463.0,607.8954834399212,0.3129492082935663
9517.T,797.0,1044.1042664990296,0.3100429943526093
8337.T,1148.0,1501.312921792599,0.30776386915731613
6061.T,4445.0,5777.927789333453,0.29987126869144043
7090.T,1060.0,1372.5458179828922,0.2948545452668794
6360.T,3000.0,3869.797823232875,0.28993260774429164
6580.T,1720.0,2214.5262399379826,0.2875152557778968
1419.T,3965.0,5093.6768790797205,0.28465999472376313
